raw_text,normalized_text,intent,drug_entities
ينفع الحامل تاخد اوجمنتين؟,هل يمكن الحامل تأتناول Augmentin؟,contraindication,Augmentin
اقدر اخد زيرتك و اوجمنتين مع بعض؟,اقدر أتناول Zyrtec و Augmentin مع بعض؟,interaction,Zyrtec|Augmentin
طريقة استخدام فلاجيل ايه؟,طريقة استخدام Flagyl ما هي؟,dosage,Flagyl
مين ممنوع ياخد فلاجيل؟,مين ممنوع يأتناول Flagyl؟,contraindication,Flagyl
ايه اعراض اسبرين الجانبية؟,ما هي اعراض Aspirin الجانبية؟,side_effects,Aspirin
هل فلاجيل خطر على الكلى؟,هل Flagyl خطر على الكلى؟,contraindication,Flagyl
طريقة استخدام فلاجيل ايه؟,طريقة استخدام Flagyl ما هي؟,dosage,Flagyl
هل اوجمنتين خطر على الكلى؟,هل Augmentin خطر على الكلى؟,contraindication,Augmentin
اخد اسبرين كام مرة في اليوم؟,أتناول Aspirin ما مرة في اليوم؟,dosage,Aspirin
هل الجمع بين زيرتك و اموكسيسيلين خطر؟,هل الجمع بين Zyrtec و Amoxicillin خطر؟,interaction,Zyrtec|Amoxicillin
هل باراسيتامول يسبب صداع؟,هل Paracetamol يسبب صداع؟,side_effects,Paracetamol
ينفع اخد اموكسيسيلين مع بروفين؟,هل يمكن أتناول Amoxicillin مع Brufen؟,interaction,Amoxicillin|Brufen
هل باراسيتامول يتاخد مع بنادول؟,هل Paracetamol يتم تناوله مع Panadol؟,interaction,Paracetamol|Panadol
بعد ما اخدت زيرتك حسيت بتعب,بعد ما أتناولت Zyrtec حسيت بتعب,side_effects,Zyrtec
الجرعة كام ل بروفين؟,الجرعة ما ل Brufen؟,dosage,Brufen
هل بروفين خطر لمرضى الضغط؟,هل Brufen خطر لمرضى الضغط؟,contraindication,Brufen
ينفع اخد كونجستال مع بروفين؟,هل يمكن أتناول Congestal مع Brufen؟,interaction,Congestal|Brufen
هل كونجستال مناسب لمرضى السكر؟,هل Congestal مناسب لمرضى السكر؟,contraindication,Congestal
هل اوجمنتين مناسب لمرضى السكر؟,هل Augmentin مناسب لمرضى السكر؟,contraindication,Augmentin
ايه اعراض كونجستال الجانبية؟,ما هي اعراض Congestal الجانبية؟,side_effects,Congestal
هل كتافلام خطر على الكلى؟,هل Cataflam خطر على الكلى؟,contraindication,Cataflam
الجرعة كام ل كونجستال؟,الجرعة ما ل Congestal؟,dosage,Congestal
ينفع الحامل تاخد فلاجيل؟,هل يمكن الحامل تأتناول Flagyl؟,contraindication,Flagyl
فلاجيل بيعمل نعاس؟,Flagyl يسبب نعاس؟,side_effects,Flagyl
اخد كتافلام كام مرة في اليوم؟,أتناول Cataflam ما مرة في اليوم؟,dosage,Cataflam
هل بنادول خطر لمرضى الضغط؟,هل Panadol خطر لمرضى الضغط؟,contraindication,Panadol
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
باراسيتامول بيعمل نعاس؟,Paracetamol يسبب نعاس؟,side_effects,Paracetamol
ايه اعراض بروفين الجانبية؟,ما هي اعراض Brufen الجانبية؟,side_effects,Brufen
ايه اعراض فلاجيل الجانبية؟,ما هي اعراض Flagyl الجانبية؟,side_effects,Flagyl
هل اسبرين خطر على الكلى؟,هل Aspirin خطر على الكلى؟,contraindication,Aspirin
اموكسيسيلين ممكن يسبب دوخة؟,Amoxicillin ممكن يسبب دوخة؟,side_effects,Amoxicillin
هل بنادول مناسب لمرضى السكر؟,هل Panadol مناسب لمرضى السكر؟,contraindication,Panadol
جرعة زيرتك للاطفال كام؟,جرعة Zyrtec للاطفال ما؟,dosage,Zyrtec
في تفاعل بين بروفين و اوجمنتين؟,في تفاعل بين Brufen و Augmentin؟,interaction,Brufen|Augmentin
كونجستال ممكن يسبب دوخة؟,Congestal ممكن يسبب دوخة؟,side_effects,Congestal
ينفع الحامل تاخد باراسيتامول؟,هل يمكن الحامل تأتناول Paracetamol؟,contraindication,Paracetamol
كونجستال ممكن يسبب دوخة؟,Congestal ممكن يسبب دوخة؟,side_effects,Congestal
اقدر اخد باراسيتامول و بروفين مع بعض؟,اقدر أتناول Paracetamol و Brufen مع بعض؟,interaction,Paracetamol|Brufen
بعد ما اخدت اوجمنتين حسيت بتعب,بعد ما أتناولت Augmentin حسيت بتعب,side_effects,Augmentin
اموكسيسيلين ممكن يسبب دوخة؟,Amoxicillin ممكن يسبب دوخة؟,side_effects,Amoxicillin
ينفع الحامل تاخد اوجمنتين؟,هل يمكن الحامل تأتناول Augmentin؟,contraindication,Augmentin
هل فلاجيل يتاخد مع اموكسيسيلين؟,هل Flagyl يتم تناوله مع Amoxicillin؟,interaction,Flagyl|Amoxicillin
الجرعة كام ل باراسيتامول؟,الجرعة ما ل Paracetamol؟,dosage,Paracetamol
اموكسيسيلين ممكن يسبب دوخة؟,Amoxicillin ممكن يسبب دوخة؟,side_effects,Amoxicillin
هل اوجمنتين مناسب لمرضى السكر؟,هل Augmentin مناسب لمرضى السكر؟,contraindication,Augmentin
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
طريقة استخدام فلاجيل ايه؟,طريقة استخدام Flagyl ما هي؟,dosage,Flagyl
ايه اعراض فلاجيل الجانبية؟,ما هي اعراض Flagyl الجانبية؟,side_effects,Flagyl
بعد ما اخدت كتافلام حسيت بتعب,بعد ما أتناولت Cataflam حسيت بتعب,side_effects,Cataflam
هل بروفين يسبب صداع؟,هل Brufen يسبب صداع؟,side_effects,Brufen
هل كتافلام خطر لمرضى الضغط؟,هل Cataflam خطر لمرضى الضغط؟,contraindication,Cataflam
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
مين ممنوع ياخد زيرتك؟,مين ممنوع يأتناول Zyrtec؟,contraindication,Zyrtec
ينفع الحامل تاخد زيرتك؟,هل يمكن الحامل تأتناول Zyrtec؟,contraindication,Zyrtec
هل الجمع بين كونجستال و بروفين خطر؟,هل الجمع بين Congestal و Brufen خطر؟,interaction,Congestal|Brufen
هل فلاجيل خطر لمرضى الضغط؟,هل Flagyl خطر لمرضى الضغط؟,contraindication,Flagyl
طريقة استخدام اموكسيسيلين ايه؟,طريقة استخدام Amoxicillin ما هي؟,dosage,Amoxicillin
هل بروفين يسبب صداع؟,هل Brufen يسبب صداع؟,side_effects,Brufen
ينفع اخد اوجمنتين مع فلاجيل؟,هل يمكن أتناول Augmentin مع Flagyl؟,interaction,Augmentin|Flagyl
الجرعة كام ل اوجمنتين؟,الجرعة ما ل Augmentin؟,dosage,Augmentin
ايه اعراض باراسيتامول الجانبية؟,ما هي اعراض Paracetamol الجانبية؟,side_effects,Paracetamol
هل اموكسيسيلين يسبب صداع؟,هل Amoxicillin يسبب صداع؟,side_effects,Amoxicillin
اخد زيرتك كام مرة في اليوم؟,أتناول Zyrtec ما مرة في اليوم؟,dosage,Zyrtec
ينفع الحامل تاخد باراسيتامول؟,هل يمكن الحامل تأتناول Paracetamol؟,contraindication,Paracetamol
اقدر اخد باراسيتامول و فلاجيل مع بعض؟,اقدر أتناول Paracetamol و Flagyl مع بعض؟,interaction,Paracetamol|Flagyl
بعد ما اخدت اسبرين حسيت بتعب,بعد ما أتناولت Aspirin حسيت بتعب,side_effects,Aspirin
هل اوجمنتين مناسب لمرضى السكر؟,هل Augmentin مناسب لمرضى السكر؟,contraindication,Augmentin
ينفع اخد جرعة من كونجستال؟,هل يمكن أتناول جرعة من Congestal؟,dosage,Congestal
طريقة استخدام بنادول ايه؟,طريقة استخدام Panadol ما هي؟,dosage,Panadol
جرعة فلاجيل للاطفال كام؟,جرعة Flagyl للاطفال ما؟,dosage,Flagyl
ينفع اخد باراسيتامول مع بروفين؟,هل يمكن أتناول Paracetamol مع Brufen؟,interaction,Paracetamol|Brufen
هل بنادول يتاخد مع بروفين؟,هل Panadol يتم تناوله مع Brufen؟,interaction,Panadol|Brufen
بعد ما اخدت كتافلام حسيت بتعب,بعد ما أتناولت Cataflam حسيت بتعب,side_effects,Cataflam
ينفع اخد جرعة من زيرتك؟,هل يمكن أتناول جرعة من Zyrtec؟,dosage,Zyrtec
هل الجمع بين فلاجيل و اموكسيسيلين خطر؟,هل الجمع بين Flagyl و Amoxicillin خطر؟,interaction,Flagyl|Amoxicillin
ينفع الحامل تاخد كتافلام؟,هل يمكن الحامل تأتناول Cataflam؟,contraindication,Cataflam
هل كونجستال يتاخد مع اموكسيسيلين؟,هل Congestal يتم تناوله مع Amoxicillin؟,interaction,Congestal|Amoxicillin
ينفع الحامل تاخد كونجستال؟,هل يمكن الحامل تأتناول Congestal؟,contraindication,Congestal
فلاجيل ممكن يسبب دوخة؟,Flagyl ممكن يسبب دوخة؟,side_effects,Flagyl
اقدر اخد اسبرين و كتافلام مع بعض؟,اقدر أتناول Aspirin و Cataflam مع بعض؟,interaction,Aspirin|Cataflam
هل فلاجيل خطر لمرضى الضغط؟,هل Flagyl خطر لمرضى الضغط؟,contraindication,Flagyl
في تفاعل بين كتافلام و باراسيتامول؟,في تفاعل بين Cataflam و Paracetamol؟,interaction,Cataflam|Paracetamol
اخد اوجمنتين كام مرة في اليوم؟,أتناول Augmentin ما مرة في اليوم؟,dosage,Augmentin
طريقة استخدام زيرتك ايه؟,طريقة استخدام Zyrtec ما هي؟,dosage,Zyrtec
في تفاعل بين زيرتك و كتافلام؟,في تفاعل بين Zyrtec و Cataflam؟,interaction,Zyrtec|Cataflam
ينفع اخد بروفين مع اوجمنتين؟,هل يمكن أتناول Brufen مع Augmentin؟,interaction,Brufen|Augmentin
اخد بروفين كام مرة في اليوم؟,أتناول Brufen ما مرة في اليوم؟,dosage,Brufen
ينفع اخد جرعة من بروفين؟,هل يمكن أتناول جرعة من Brufen؟,dosage,Brufen
هل الجمع بين بروفين و باراسيتامول خطر؟,هل الجمع بين Brufen و Paracetamol خطر؟,interaction,Brufen|Paracetamol
هل بنادول يسبب صداع؟,هل Panadol يسبب صداع؟,side_effects,Panadol
جرعة كونجستال للاطفال كام؟,جرعة Congestal للاطفال ما؟,dosage,Congestal
بعد ما اخدت اموكسيسيلين حسيت بتعب,بعد ما أتناولت Amoxicillin حسيت بتعب,side_effects,Amoxicillin
هل باراسيتامول يسبب صداع؟,هل Paracetamol يسبب صداع؟,side_effects,Paracetamol
هل زيرتك يسبب صداع؟,هل Zyrtec يسبب صداع؟,side_effects,Zyrtec
هل كونجستال مناسب لمرضى السكر؟,هل Congestal مناسب لمرضى السكر؟,contraindication,Congestal
مين ممنوع ياخد باراسيتامول؟,مين ممنوع يأتناول Paracetamol؟,contraindication,Paracetamol
ايه اعراض كتافلام الجانبية؟,ما هي اعراض Cataflam الجانبية؟,side_effects,Cataflam
هل باراسيتامول خطر لمرضى الضغط؟,هل Paracetamol خطر لمرضى الضغط؟,contraindication,Paracetamol
ينفع اخد باراسيتامول مع اسبرين؟,هل يمكن أتناول Paracetamol مع Aspirin؟,interaction,Paracetamol|Aspirin
هل الجمع بين باراسيتامول و اموكسيسيلين خطر؟,هل الجمع بين Paracetamol و Amoxicillin خطر؟,interaction,Paracetamol|Amoxicillin
بعد ما اخدت بروفين حسيت بتعب,بعد ما أتناولت Brufen حسيت بتعب,side_effects,Brufen
ايه اعراض بنادول الجانبية؟,ما هي اعراض Panadol الجانبية؟,side_effects,Panadol
هل بروفين يتاخد مع اموكسيسيلين؟,هل Brufen يتم تناوله مع Amoxicillin؟,interaction,Brufen|Amoxicillin
هل فلاجيل يتاخد مع اموكسيسيلين؟,هل Flagyl يتم تناوله مع Amoxicillin؟,interaction,Flagyl|Amoxicillin
هل اوجمنتين خطر على الكلى؟,هل Augmentin خطر على الكلى؟,contraindication,Augmentin
فلاجيل ممكن يسبب دوخة؟,Flagyl ممكن يسبب دوخة؟,side_effects,Flagyl
ايه اعراض كتافلام الجانبية؟,ما هي اعراض Cataflam الجانبية؟,side_effects,Cataflam
هل بروفين يسبب صداع؟,هل Brufen يسبب صداع؟,side_effects,Brufen
هل الجمع بين اوجمنتين و زيرتك خطر؟,هل الجمع بين Augmentin و Zyrtec خطر؟,interaction,Augmentin|Zyrtec
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
ينفع اخد كونجستال مع بنادول؟,هل يمكن أتناول Congestal مع Panadol؟,interaction,Congestal|Panadol
في تفاعل بين فلاجيل و كونجستال؟,في تفاعل بين Flagyl و Congestal؟,interaction,Flagyl|Congestal
هل باراسيتامول خطر على الكلى؟,هل Paracetamol خطر على الكلى؟,contraindication,Paracetamol
بعد ما اخدت كونجستال حسيت بتعب,بعد ما أتناولت Congestal حسيت بتعب,side_effects,Congestal
جرعة اوجمنتين للاطفال كام؟,جرعة Augmentin للاطفال ما؟,dosage,Augmentin
هل كتافلام يتاخد مع باراسيتامول؟,هل Cataflam يتم تناوله مع Paracetamol؟,interaction,Cataflam|Paracetamol
هل اموكسيسيلين يتاخد مع زيرتك؟,هل Amoxicillin يتم تناوله مع Zyrtec؟,interaction,Amoxicillin|Zyrtec
ينفع اخد جرعة من باراسيتامول؟,هل يمكن أتناول جرعة من Paracetamol؟,dosage,Paracetamol
فلاجيل ممكن يسبب دوخة؟,Flagyl ممكن يسبب دوخة؟,side_effects,Flagyl
بعد ما اخدت بروفين حسيت بتعب,بعد ما أتناولت Brufen حسيت بتعب,side_effects,Brufen
هل بنادول يتاخد مع كونجستال؟,هل Panadol يتم تناوله مع Congestal؟,interaction,Panadol|Congestal
اخد بنادول كام مرة في اليوم؟,أتناول Panadol ما مرة في اليوم؟,dosage,Panadol
اموكسيسيلين بيعمل نعاس؟,Amoxicillin يسبب نعاس؟,side_effects,Amoxicillin
هل بنادول خطر لمرضى الضغط؟,هل Panadol خطر لمرضى الضغط؟,contraindication,Panadol
اقدر اخد باراسيتامول و بروفين مع بعض؟,اقدر أتناول Paracetamol و Brufen مع بعض؟,interaction,Paracetamol|Brufen
اقدر اخد اسبرين و كتافلام مع بعض؟,اقدر أتناول Aspirin و Cataflam مع بعض؟,interaction,Aspirin|Cataflam
طريقة استخدام اوجمنتين ايه؟,طريقة استخدام Augmentin ما هي؟,dosage,Augmentin
هل زيرتك يتاخد مع بروفين؟,هل Zyrtec يتم تناوله مع Brufen؟,interaction,Zyrtec|Brufen
فلاجيل بيعمل نعاس؟,Flagyl يسبب نعاس؟,side_effects,Flagyl
هل اسبرين يتاخد مع بنادول؟,هل Aspirin يتم تناوله مع Panadol؟,interaction,Aspirin|Panadol
ينفع الحامل تاخد بروفين؟,هل يمكن الحامل تأتناول Brufen؟,contraindication,Brufen
في تفاعل بين باراسيتامول و بنادول؟,في تفاعل بين Paracetamol و Panadol؟,interaction,Paracetamol|Panadol
هل اسبرين يتاخد مع باراسيتامول؟,هل Aspirin يتم تناوله مع Paracetamol؟,interaction,Aspirin|Paracetamol
الجرعة كام ل باراسيتامول؟,الجرعة ما ل Paracetamol؟,dosage,Paracetamol
ينفع اخد كونجستال مع اموكسيسيلين؟,هل يمكن أتناول Congestal مع Amoxicillin؟,interaction,Congestal|Amoxicillin
باراسيتامول ممكن يسبب دوخة؟,Paracetamol ممكن يسبب دوخة؟,side_effects,Paracetamol
جرعة اموكسيسيلين للاطفال كام؟,جرعة Amoxicillin للاطفال ما؟,dosage,Amoxicillin
هل بنادول خطر على الكلى؟,هل Panadol خطر على الكلى؟,contraindication,Panadol
هل الجمع بين كتافلام و اوجمنتين خطر؟,هل الجمع بين Cataflam و Augmentin خطر؟,interaction,Cataflam|Augmentin
هل الجمع بين اوجمنتين و اسبرين خطر؟,هل الجمع بين Augmentin و Aspirin خطر؟,interaction,Augmentin|Aspirin
زيرتك ممكن يسبب دوخة؟,Zyrtec ممكن يسبب دوخة؟,side_effects,Zyrtec
هل بروفين يتاخد مع كتافلام؟,هل Brufen يتم تناوله مع Cataflam؟,interaction,Brufen|Cataflam
هل اموكسيسيلين مناسب لمرضى السكر؟,هل Amoxicillin مناسب لمرضى السكر؟,contraindication,Amoxicillin
مين ممنوع ياخد بروفين؟,مين ممنوع يأتناول Brufen؟,contraindication,Brufen
ينفع الحامل تاخد كتافلام؟,هل يمكن الحامل تأتناول Cataflam؟,contraindication,Cataflam
ينفع الحامل تاخد بنادول؟,هل يمكن الحامل تأتناول Panadol؟,contraindication,Panadol
هل كونجستال مناسب لمرضى السكر؟,هل Congestal مناسب لمرضى السكر؟,contraindication,Congestal
اقدر اخد زيرتك و فلاجيل مع بعض؟,اقدر أتناول Zyrtec و Flagyl مع بعض؟,interaction,Zyrtec|Flagyl
اخد اوجمنتين كام مرة في اليوم؟,أتناول Augmentin ما مرة في اليوم؟,dosage,Augmentin
هل اموكسيسيلين يتاخد مع بروفين؟,هل Amoxicillin يتم تناوله مع Brufen؟,interaction,Amoxicillin|Brufen
باراسيتامول بيعمل نعاس؟,Paracetamol يسبب نعاس؟,side_effects,Paracetamol
جرعة بروفين للاطفال كام؟,جرعة Brufen للاطفال ما؟,dosage,Brufen
هل بنادول يسبب صداع؟,هل Panadol يسبب صداع؟,side_effects,Panadol
ينفع الحامل تاخد باراسيتامول؟,هل يمكن الحامل تأتناول Paracetamol؟,contraindication,Paracetamol
فلاجيل ممكن يسبب دوخة؟,Flagyl ممكن يسبب دوخة؟,side_effects,Flagyl
في تفاعل بين اموكسيسيلين و باراسيتامول؟,في تفاعل بين Amoxicillin و Paracetamol؟,interaction,Amoxicillin|Paracetamol
الجرعة كام ل اسبرين؟,الجرعة ما ل Aspirin؟,dosage,Aspirin
هل كونجستال خطر لمرضى الضغط؟,هل Congestal خطر لمرضى الضغط؟,contraindication,Congestal
ينفع الحامل تاخد اموكسيسيلين؟,هل يمكن الحامل تأتناول Amoxicillin؟,contraindication,Amoxicillin
هل الجمع بين اوجمنتين و كونجستال خطر؟,هل الجمع بين Augmentin و Congestal خطر؟,interaction,Augmentin|Congestal
ينفع اخد جرعة من كتافلام؟,هل يمكن أتناول جرعة من Cataflam؟,dosage,Cataflam
هل الجمع بين اوجمنتين و بروفين خطر؟,هل الجمع بين Augmentin و Brufen خطر؟,interaction,Augmentin|Brufen
هل الجمع بين اموكسيسيلين و بنادول خطر؟,هل الجمع بين Amoxicillin و Panadol خطر؟,interaction,Amoxicillin|Panadol
جرعة كونجستال للاطفال كام؟,جرعة Congestal للاطفال ما؟,dosage,Congestal
جرعة بنادول للاطفال كام؟,جرعة Panadol للاطفال ما؟,dosage,Panadol
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
جرعة اوجمنتين للاطفال كام؟,جرعة Augmentin للاطفال ما؟,dosage,Augmentin
مين ممنوع ياخد فلاجيل؟,مين ممنوع يأتناول Flagyl؟,contraindication,Flagyl
الجرعة كام ل اسبرين؟,الجرعة ما ل Aspirin؟,dosage,Aspirin
اقدر اخد كتافلام و زيرتك مع بعض؟,اقدر أتناول Cataflam و Zyrtec مع بعض؟,interaction,Cataflam|Zyrtec
هل الجمع بين كونجستال و بنادول خطر؟,هل الجمع بين Congestal و Panadol خطر؟,interaction,Congestal|Panadol
هل بنادول مناسب لمرضى السكر؟,هل Panadol مناسب لمرضى السكر؟,contraindication,Panadol
ينفع الحامل تاخد اوجمنتين؟,هل يمكن الحامل تأتناول Augmentin؟,contraindication,Augmentin
بروفين بيعمل نعاس؟,Brufen يسبب نعاس؟,side_effects,Brufen
ينفع اخد جرعة من فلاجيل؟,هل يمكن أتناول جرعة من Flagyl؟,dosage,Flagyl
هل اموكسيسيلين مناسب لمرضى السكر؟,هل Amoxicillin مناسب لمرضى السكر؟,contraindication,Amoxicillin
اوجمنتين بيعمل نعاس؟,Augmentin يسبب نعاس؟,side_effects,Augmentin
في تفاعل بين اوجمنتين و كتافلام؟,في تفاعل بين Augmentin و Cataflam؟,interaction,Augmentin|Cataflam
مين ممنوع ياخد فلاجيل؟,مين ممنوع يأتناول Flagyl؟,contraindication,Flagyl
هل الجمع بين بنادول و كتافلام خطر؟,هل الجمع بين Panadol و Cataflam خطر؟,interaction,Panadol|Cataflam
الجرعة كام ل اوجمنتين؟,الجرعة ما ل Augmentin؟,dosage,Augmentin
ينفع اخد اوجمنتين مع فلاجيل؟,هل يمكن أتناول Augmentin مع Flagyl؟,interaction,Augmentin|Flagyl
طريقة استخدام زيرتك ايه؟,طريقة استخدام Zyrtec ما هي؟,dosage,Zyrtec
هل اموكسيسيلين يسبب صداع؟,هل Amoxicillin يسبب صداع؟,side_effects,Amoxicillin
هل كتافلام خطر على الكلى؟,هل Cataflam خطر على الكلى؟,contraindication,Cataflam
ينفع الحامل تاخد باراسيتامول؟,هل يمكن الحامل تأتناول Paracetamol؟,contraindication,Paracetamol
ينفع اخد جرعة من اوجمنتين؟,هل يمكن أتناول جرعة من Augmentin؟,dosage,Augmentin
هل زيرتك يتاخد مع اموكسيسيلين؟,هل Zyrtec يتم تناوله مع Amoxicillin؟,interaction,Zyrtec|Amoxicillin
هل كونجستال يسبب صداع؟,هل Congestal يسبب صداع؟,side_effects,Congestal
هل زيرتك مناسب لمرضى السكر؟,هل Zyrtec مناسب لمرضى السكر؟,contraindication,Zyrtec
طريقة استخدام اوجمنتين ايه؟,طريقة استخدام Augmentin ما هي؟,dosage,Augmentin
اوجمنتين بيعمل نعاس؟,Augmentin يسبب نعاس؟,side_effects,Augmentin
مين ممنوع ياخد بنادول؟,مين ممنوع يأتناول Panadol؟,contraindication,Panadol
اقدر اخد زيرتك و كتافلام مع بعض؟,اقدر أتناول Zyrtec و Cataflam مع بعض؟,interaction,Zyrtec|Cataflam
اقدر اخد بنادول و زيرتك مع بعض؟,اقدر أتناول Panadol و Zyrtec مع بعض؟,interaction,Panadol|Zyrtec
بنادول بيعمل نعاس؟,Panadol يسبب نعاس؟,side_effects,Panadol
ينفع اخد اموكسيسيلين مع فلاجيل؟,هل يمكن أتناول Amoxicillin مع Flagyl؟,interaction,Amoxicillin|Flagyl
هل بروفين خطر على الكلى؟,هل Brufen خطر على الكلى؟,contraindication,Brufen
هل اموكسيسيلين خطر على الكلى؟,هل Amoxicillin خطر على الكلى؟,contraindication,Amoxicillin
جرعة اسبرين للاطفال كام؟,جرعة Aspirin للاطفال ما؟,dosage,Aspirin
مين ممنوع ياخد فلاجيل؟,مين ممنوع يأتناول Flagyl؟,contraindication,Flagyl
هل كونجستال مناسب لمرضى السكر؟,هل Congestal مناسب لمرضى السكر؟,contraindication,Congestal
ينفع اخد جرعة من فلاجيل؟,هل يمكن أتناول جرعة من Flagyl؟,dosage,Flagyl
هل كونجستال خطر على الكلى؟,هل Congestal خطر على الكلى؟,contraindication,Congestal
طريقة استخدام بروفين ايه؟,طريقة استخدام Brufen ما هي؟,dosage,Brufen
ايه اعراض فلاجيل الجانبية؟,ما هي اعراض Flagyl الجانبية؟,side_effects,Flagyl
