text,normalized_text,intent,drug_entities,generic_name
ليفوكساسين عين لعلاج إلتهابات العين؟,هل نقط ليفوكساسين للعين لعلاج الالتهابات البكتيرية,general_info,ليفوكساسين عين,Levofloxacin
ريجين محلول موضعي لعلاج تساقط الشعر؟,هل محلول ريجين الموضعي فعال لعلاج الصلع وتساقط الشعر,general_info,ريجين,Minoxidil
بروبيسيا أقراص لعلاج تساقط الشعر للرجال فقط؟,هل أقراص بروبيسيا لعلاج تساقط الشعر مخصصة للرجال فقط,contraindication,بروبيسيا,Finasteride
يوريكس أقراص لتضخم البروستاتا للرجال فقط؟,هل أقراص يوريكس لعلاج تضخم البروستاتا للرجال فقط,contraindication,يوريكس,Finasteride
بوستينور حبوب لمنع الحمل الطارئ طريقة استخدامها؟,ما هي طريقة استخدام حبوب بوستينور لمنع الحمل الطارئ,dosage,بوستينور,Levonorgestrel
ميكروجينون حبوب منع حمل يومية؟,هل حبوب ميكروجينون هي حبوب منع حمل يومية,general_info,ميكروجينون,Levonorgestrel-Ethinylestradiol
فيت د حبوب فيتامين D3 لتقوية العظام؟,هل حبوب فيت د لتقوية العظام والعضلات,general_info,فيت د,Cholecalciferol
جلوكوزامين لتقوية الغضاريف والمفاصل؟,هل دواء جلوكوزامين لتقوية الغضاريف والمفاصل,general_info,جلوكوزامين,Glucosamine
سيالس أقراص لضعف الانتصاب؟,هل أقراص سيالس فعالة لعلاج ضعف الانتصاب,general_info,سيالس,Tadalafil
ترامادول مسكن قوي لا يستخدم بدون روشتة؟,هل مسكن الترامادول قوي ولا يجب استخدامه بدون روشتة طبية,contraindication,ترامادول,Tramadol
تراميل كبسول لآلام السرطان والأعصاب؟,هل كبسول تراميل لعلاج آلام السرطان والأعصاب الشديدة,general_info,تراميل,Tramadol
ليفوفلوكساسين مضاد حيوي بيسبب تمزق في الأوتار؟,هل مضاد ليفوفلوكساسين الحيوي يسبب تمزق الأوتار,side_effects,ليفوفلوكساسين,Levofloxacin
دالاسين كبسول لعلاج حب الشباب الشديد؟,هل كبسول دالاسين فعالة لعلاج حب الشباب الشديد,general_info,دالاسين,Clindamycin
بيبانتين كريم لعلاج تشقق الحلمات عند المرضع؟,هل كريم بيبانتين لعلاج تشقق حلمات الثدي عند المرضع,general_info,بيبانتين,Dexpanthenol
بيتادين محلول مطهر للجروح والحروق؟,هل محلول بيتادين مطهر مناسب لتنظيف الجروح والحروق,general_info,بيتادين,Povidone-iodine
تيكسيل مرهم لعلاج الإكزيما المزمنة؟,هل مرهم تيكسيل فعال لعلاج الإكزيما المزمنة,general_info,تيكسيل,Tacrolimus
دوسباتالين أقراص لعلاج القولون العصبي؟,هل أقراص دوسباتالين لعلاج أعراض القولون العصبي,general_info,دوسباتالين,Mebeverine
بوسكوبان أقراص لعلاج مغص البطن؟,هل أقراص بوسكوبان لعلاج تشنجات ومغص البطن,general_info,بوسكوبان,Hyoscine butylbromide
بوسكوبان بلس أقراص لعلاج المغص مع الحرارة؟,هل أقراص بوسكوبان بلس لعلاج المغص المصاحب بارتفاع الحرارة,general_info,بوسكوبان بلس,Hyoscine-Paracetamol
رينني أقراض مضغ لعلاج الحموضة وعسر الهضم؟,هل أقراص رينني للمضغ لعلاج الحموضة وعسر الهضم,general_info,رينني,Calcium carbonate-Magnesium
جافيسكون شراب لعلاج الإرتجاع وحموضة المعدة؟,هل شراب جافيسكون لعلاج ارتجاع المرئ وحموضة المعدة,general_info,جافيسكون,Alginate-Antacid
مالوكس معلق لعلاج الحموضة الزائدة؟,هل معلق مالوكس لعلاج زيادة حموضة المعدة,general_info,مالوكس,Magnesium-Aluminum hydroxide
كونكور مع كوزار مع بعض ينفع لضغط الدم؟,هل يمكن تناول كونكور مع كوزار معًا لعلاج ارتفاع ضغط الدم,interaction,كونكور,Bisoprolol
كوزار مع بروفين في نفس اليوم آمن؟,هل تناول كوزار مع بروفين في نفس اليوم آمن,interaction,كوزار,Losartan
بروفين مع أسبرين يزود خطر النزيف؟,هل تناول بروفين مع أسبرين يزيد من خطر النزيف,interaction,بروفين,Ibuprofen
أسبرين مع وارفارين يزود سيولة الدم زيادة؟,هل تناول أسبرين مع وارفارين يزيد سيولة الدم بشكل خطير,interaction,أسبرين,Aspirin
وارفارين مع فيتامين ك ممنوع؟,هل تناول وارفارين مع فيتامين ك ممنوع,interaction,وارفارين,Warfarin
كلوبيدوجريل مع أوميبرازول يقلل مفعوله؟,هل تناول كلوبيدوجريل مع أوميبرازول يقلل من فعاليته,interaction,كلوبيدوجريل,Clopidogrel
أموكسيسيلين مع مدرات البول يزود حساسية الجلد؟,هل تناول أموكسيسيلين مع مدرات البول يزيد من حساسية الجلد,interaction,أموكسيسيلين,Amoxicillin
سيمفاستاتين مع جريب فروت يزود سميته؟,هل تناول سيمفاستاتين مع عصير جريب فروت يزيد من سمية الدواء,interaction,سيمفاستاتين,Simvastatin
أتورفاستاتين مع كلاريثروميسين بيزود ألم العضلات؟,هل تناول أتورفاستاتين مع كلاريثروميسين يزيد من ألم العضلات,interaction,أتورفاستاتين,Atorvastatin
ميتفورمين مع صبغة اليود قبل الأشعة ممنوع؟,هل تناول ميتفورمين مع صبغة اليود المستخدمة في الأشعة ممنوع,contraindication,ميتفورمين,Metformin
جلوكوفاج مع الكحول يزود خطر الحماض اللبني؟,هل تناول جلوكوفاج مع الكحول يزيد من خطر الحماض اللبني,contraindication,جلوكوفاج,Metformin
نيستاتين مع فلوكونازول مينفعش مع بعض؟,لا يمكن استخدام نيستاتين مع فلوكونازول معًا,contraindication,نيستاتين,Nystatin
أيزوتريتينوين مع تتراسيكلين ممنوع لزيادة الضغط على المخ؟,يمنع استخدام أيزوتريتينوين مع تتراسيكلين لزيادة الضغط داخل الجمجمة,contraindication,أيزوتريتينوين,Isotretinoin
بنزويل بيروكسيد مع ريتينويد ممنوع لتهيج البشرة؟,يمنع استخدام بنزويل بيروكسيد مع ريتينويد لتجنب تهيج البشرة,contraindication,بنزويل بيروكسيد,Benzoyl peroxide
ميفيناميك مع أسبرين يزود قرحة المعدة؟,هل تناول ميفيناميك مع أسبرين يزيد من خطر قرحة المعدة,interaction,ميفيناميك,Mefenamic acid
ديكلوفيناك مع ليثيوم يزود سمية الليثيوم؟,هل تناول ديكلوفيناك مع ليثيوم يزيد من سمية الليثيوم في الدم,interaction,ديكلوفيناك,Diclofenac
فينيتوين مع فلوكونازول يزود مستوى الفينيتوين؟,هل تناول فينيتوين مع فلوكونازول يزيد من مستوى الفينيتوين في الدم,interaction,فينيتوين,Phenytoin
كاربامازيبين مع كلاريثروميسين يزود الدوخة والغثيان؟,هل تناول كاربامازيبين مع كلاريثروميسين يزيد من الدوخة والغثيان,interaction,كاربامازيبين,Carbamazepine
بريجابالين مع هيدروكودون يزود النعاس والدوخة؟,هل تناول بريجابالين مع هيدروكودون يزيد من النعاس والدوخة,interaction,بريجابالين,Pregabalin
زوبيكلون مع أوكسيكودون يزود خطر توقف التنفس؟,هل تناول زوبيكلون مع أوكسيكودون يزيد من خطر توقف التنفس,interaction,زوبيكلون,Zopiclone
ديازيبام مع أتراكوريوم يزود استرخاء العضلات؟,هل تناول ديازيبام مع أتراكوريوم يزيد من استرخاء العضلات,interaction,ديازيبام,Diazepam
فينوباربيتال مع فالبروات يزود النعاس؟,هل تناول فينوباربيتال مع فالبروات يزيد من النعاس,interaction,فينوباربيتال,Phenobarbital
ميثوتريكسات مع أسبرين يزود سمية الدم؟,هل تناول ميثوتريكسات مع أسبرين يزيد من سمية الدم,interaction,ميثوتريكسات,Methotrexate
هيدروكسي كلوروكين مع ديجوكسين يزود مستوى الديجوكسين؟,هل تناول هيدروكسي كلوروكين مع ديجوكسين يزيد من مستوى الديجوكسين في الدم,interaction,هيدروكسي كلوروكين,Hydroxychloroquine
الباراسيتامول جرعته كام مليجرام في اليوم؟,ما هي الجرعة اليومية القصوى للباراسيتامول,dosage,الباراسيتامول,Paracetamol
الإيبوبروفين ينفع مع وجع الظهر الشديد؟,هل دواء الإيبوبروفين فعال لعلاج آلام الظهر الشديدة,general_info,الإيبوبروفين,Ibuprofen
الأملوديبين بينزل ضغط الدم في وقت قد إيه؟,ما هي سرعة تأثير أملوديبين على ضغط الدم,dosage,الأملوديبين,Amlodipine
البيسوبرولول ينفع لمرضى القلب مع الضغط؟,هل دواء بيسوبرولول مناسب لمرضى القلب المصابين بارتفاع الضغط,general_info,البيسوبرولول,Bisoprolol
اللوسارتان بيحمي الكلى ولا بيضرها؟,هل دواء لوسارتان يحمي الكلى أم قد يسبب ضررًا لها,general_info,اللوسارتان,Losartan
الميتفورمين بيخسس الوزن فعلًا؟,هل دواء الميتفورمين يساعد بالفعل على إنقاص الوزن,general_info,الميتفورمين,Metformin
الجاتا فكس بتتاخد قبل الأكل ولا بعده؟,هل تؤخذ أقراص جاتا فكس قبل الطعام أم بعده,administration,جاتا فكس,Gatifloxacin
أموكسيسيلين حساسية الجلد تظهر في اليوم كام؟,في أي يوم تظهر عادة أعراض حساسية الجلد لدواء أموكسيسيلين,side_effects,أموكسيسيلين,Amoxicillin
أتورفاستاتين هل هو آمن للحامل,هل دواء أتورفاستاتين آمن للاستخدام أثناء الحمل,contraindication,أتورفاستاتين,Atorvastatin
أزيثروميسين يتم استخدامه لمدة 5 أيام,يستخدم مضاد أزيثروميسين الحيوي لمدة خمسة أيام,dosage,أزيثروميسين,Azithromycin
ياريت تقولي لو ممنوع أستخدم بروفين في الشهور الأخيرة من الحمل,هل يحظر استخدام دواء بروفين في الأشهر الأخيرة من الحمل,contraindication,بروفين,Ibuprofen
الناس بيشتكوا من إيه لما بياخدوا إيبوبروفين كتير,ما هي الأعراض الجانبية الشائعة للاستخدام المفرط لدواء إيبوبروفين,side_effects,إيبوبروفين,Ibuprofen
هل في تعارض بين دواء كونكور ودواء كوزار وأنا باخدهم مع بعض,هل يوجد تعارض دوائي بين كونكور وكوزار عند تناولهما معًا,interaction,كونكور,Bisoprolol
حابة أسأل عن الجرعة المناسبة لبانادول شراب لطفلي اللي عنده سنة,أحتاج إلى معرفة الجرعة المناسبة لشراب بانادول لطفلي البالغ من العمر سنة واحدة,dosage,بانادول,Paracetamol
ممكن معلومات عن الآثار الجانبية لدواء ليريكا على المدى البعيد,أود معرفة الأعراض الجانبية طويلة المدى لدواء ليريكا,side_effects,ليريكا,Pregabalin
هل دواء هارنال مناسب للستات ولا مخصص للرجالة بس,هل دواء هارنال مخصص للرجال فقط أم يمكن استخدامه للنساء أيضًا,contraindication,هارنال,Tamsulosin
متى أحس بتحسن بعد ما أبدأ أستخدم زولوفت,متى يبدأ مفعول دواء زولوفت في التحسن,general_info,زولوفت,Sertraline
سمعت أن نيكسيوم بيسبب مشاكل في الكلى لو استخدمته كتير، الكلام دا صحيح,هل صحيح أن الاستخدام الطويل لدواء نيكسيوم قد يسبب مشاكل في الكلى,side_effects,نيكسيوم,Esomeprazole
تعبت من القولون العصبي، حد قالي دوسباتالين كويس. إيه رأيك,هل دواء دوسباتالين فعال لعلاج أعراض القولون العصبي,general_info,دوسباتالين,Mebeverine
طفلي عنده سخونة 38 درجة، أقدر أدي له كالبول شراب ولا لا,هل يمكن إعطاء شراب كالبول لطفل يعاني من حرارة 38 درجة مئوية,general_info,كالبول,Paracetamol
أنا مريض سكر نوع تاني وجلوكوفاج وحده مش كفاية معايا، في إضافة أمانة,ما هي الأدوية الآمنة التي يمكن إضافتها مع جلوكوفاج لمرضى السكر,general_info,جلوكوفاج,Metformin
أنا حامل في الشهر التامن والدكتور كتبلي بروفين لوجع الأسنان، هل هو آمن,هل دواء إيبوبروفين آمن للاستخدام في الشهر الثامن من الحمل,contraindication,بروفين,Ibuprofen
لو سمحت عاوز أعرف جرعة سنجولار لطفلي اللي عنده 4 سنين للربو,ما هي جرعة دواء سنجولار المناسبة لطفل يبلغ من العمر 4 سنوات لعلاج الربو,dosage,سنجولار,Montelukast
مراتي بتستخدم وارفارين ودكتور جريبها قالها وصفة فيها بانادول، ينفع تاخده ولا فيه تعارض,هل يوجد تعارض بين دواء وارفارين ودواء باراسيتامول,interaction,وارفارين,Warfarin
هل الليبراكس بيسبب إدمان لو استخدمته فترة طويلة,هل يسبب دواء ليبراكس الإدمان عند الاستخدام طويل الأمد,side_effects,ليبراكس,Alprazolam
أنا مريض ضغط وباخد كوزار، ممكن آخد بروفين لوجع الرأس,هل يمكن لمريض الضغط الذي يتناول لوسارتان تناول إيبوبروفين,contraindication,كوزار,Losartan
أمي عندها 70 سنة وعظامها ضعيفة، فوساماكس مرة واحدة في الأسبوع كفاية,هل جرعة فوساماكس مرة واحدة أسبوعيًا كافية لعلاج هشاشة العظام عند كبار السن,dosage,فوساماكس,Alendronate
اكتشفت أن ابني عنده ديدان، هل ينفع أعطيه ألبندازول وهو عنده 3 سنين,هل يمكن إعطاء دواء ألبندازول لطفل يبلغ من العمر 3 سنوات لعلاج الديدان,contraindication,ألبندازول,Albendazole
أوقفت دواء كونكور فجأة بعد ما كنت باخده بقالي سنة، حسيت بدوخة وضربات قلبي زادت ليه,ما هي أعراض الانسحاب المفاجئ لدواء كونكور,side_effects,كونكور,Bisoprolol
فيه حبوب منظمة تاني غير ميكروجينون نفس الفعالية,هل توجد حبوب منظمة أخرى بديلة لدواء ميكروجينون,general_info,ميكروجينون,Levonorgestrel-Ethinylestradiol
والدي عنده مرض السكر والضغط وبياخد جلوكوفاج وكوزار، إضافات تانية ممنوعة,هل توجد أدوية أخرى ممنوع تناولها مع جلوكوفاج وكوزار,interaction,جلوكوفاج,Metformin
