id,drug_name,generic_name,drug_class,text,intent,confidence
INTN0019,فنتولين,Salbutamol,bronchodilator,فنتولين البخاخ كام مرة في اليوم؟,dosage,0.97
INTN0020,كلاريتين,Loratadine,antihistamine,كلاريتين بيسبب نعاس؟,side_effects,0.95
INTN0021,ميتفورمين,Metformin,antidiabetic,ميتفورمين قبل الأكل ولا بعده؟,dosage,0.96
INTN0022,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين بيأثر على الكبد؟,side_effects,0.96
INTN0023,وارفارين,Warfarin,anticoagulant,وارفارين بيتفاعل مع الخضار الورقي؟,drug_interaction,0.97
INTN0024,هارنال,Tamsulosin,alpha blocker,هارنال للبروستاتا؟,general_info,0.96
INTN0025,زيرتيك,Cetirizine,antihistamine,زيرتيك ينفع للأطفال الصغيرين؟,contraindication,0.94
INTN0026,بانادول,Paracetamol,analgesic,سعر شريط بانادول كام؟,price,0.93
INTN0027,بروفين,Ibuprofen,nsaid,بروفين بيرفع الضغط؟,side_effects,0.95
INTN0028,كونكور,Bisoprolol,beta blocker,كونكور ينفع لمرضى الربو؟,contraindication,0.95
INTN0029,سنجولار,Montelukast,antiasthmatic,سنجولار كام مرة في اليوم؟,dosage,0.97
INTN0030,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم بيأثر على امتصاص الحديد؟,drug_interaction,0.93
INTN0031,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين بيسبب إسهال؟,side_effects,0.95
INTN0032,ليريكا,Pregabalin,antiepileptic,ليريكا بيستخدم لآلام الأعصاب؟,general_info,0.96
INTN0033,فنتولين,Salbutamol,bronchodilator,فنتولين ينفع للأطفال؟,contraindication,0.94
INTN0034,كلاريتين,Loratadine,antihistamine,كلاريتين مع أدوية الضغط آمن؟,drug_interaction,0.95
INTN0035,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيخسس فعلاً؟,side_effects,0.92
INTN0036,أتورفاستاتين,Atorvastatin,statin,جرعة أتورفاستاتين كام؟,dosage,0.97
INTN0037,وارفارين,Warfarin,anticoagulant,نسيت جرعة وارفارين، أعمل إيه؟,dosage,0.96
INTN0038,هارنال,Tamsulosin,alpha blocker,هارنال بيأثر على الضغط؟,side_effects,0.94
INTN0039,زيرتيك,Cetirizine,antihistamine,زيرتيك موجود شراب؟,availability,0.93
INTN0040,بانادول,Paracetamol,analgesic,بانادول آمن أثناء الحمل؟,contraindication,0.95
INTN0041,بروفين,Ibuprofen,nsaid,بروفين مع اللبن ولا فاضي؟,dosage,0.94
INTN0042,كونكور,Bisoprolol,beta blocker,كونكور بيبطئ القلب، طبيعي؟,side_effects,0.96
INTN0043,كوزار,Losartan,angiotensin receptor blocker,كوزار ينفع لمرضى السكر؟,general_info,0.95
INTN0044,سنجولار,Montelukast,antiasthmatic,سنجولار قبل النوم؟,dosage,0.96
INTN0045,نيكسيوم,Esomeprazole,proton pump inhibitor,سعر نيكسيوم غالي، فيه بديل أرخص؟,price,0.94
INTN0046,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين لالتهاب الحلق؟,general_info,0.96
INTN0047,ليريكا,Pregabalin,antiepileptic,ليريكا بيسبب دوخة؟,side_effects,0.95
INTN0048,فنتولين,Salbutamol,bronchodilator,فنتولين يستخدم يوميًا؟,dosage,0.94
INTN0049,كلاريتين,Loratadine,antihistamine,كلاريتين للحساسية الموسمية؟,general_info,0.97
INTN0050,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيأثر على الكلى؟,contraindication,0.96
INTN0051,بانادول,Paracetamol,analgesic,هل بانادول ينفع للصداع النصفي؟,general_info,0.94
INTN0052,بروفين,Ibuprofen,nsaid,بروفين بعد الأكل ولا قبله أفضل؟,dosage,0.95
INTN0053,كونكور,Bisoprolol,beta blocker,كونكور بيسبب برودة في الأطراف؟,side_effects,0.93
INTN0054,كوزار,Losartan,angiotensin receptor blocker,كوزار ينفع للضغط العالي فقط؟,general_info,0.96
INTN0055,سنجولار,Montelukast,antiasthmatic,سنجولار بياخد وقت عشان يشتغل؟,dosage,0.95
INTN0056,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم ينفع لمدة طويلة؟,contraindication,0.94
INTN0057,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين بيسبب حساسية جلدية؟,side_effects,0.93
INTN0058,ليريكا,Pregabalin,antiepileptic,ليريكا ينفع لآلام الظهر؟,general_info,0.95
INTN0059,فنتولين,Salbutamol,bronchodilator,فنتولين بخاخ قبل الرياضة؟,dosage,0.96
INTN0060,كلاريتين,Loratadine,antihistamine,كلاريتين ينفع للرشح؟,general_info,0.94
INTN0061,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيسبب غثيان في الأول؟,side_effects,0.95
INTN0062,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين مع الجريب فروت؟,drug_interaction,0.97
INTN0063,وارفارين,Warfarin,anticoagulant,وارفارين يحتاج تحاليل دورية؟,general_info,0.96
INTN0064,هارنال,Tamsulosin,alpha blocker,هارنال بيسبب دوخة لما أقف؟,side_effects,0.94
INTN0065,زيرتيك,Cetirizine,antihistamine,زيرتيك ينفع مع أدوية الحساسية الأخرى؟,drug_interaction,0.93
INTN0066,بانادول,Paracetamol,analgesic,بانادول أفضل ولا بروفين للأسنان؟,general_info,0.95
INTN0067,بروفين,Ibuprofen,nsaid,بروفين يرفع ضغط الدم؟,side_effects,0.94
INTN0068,كونكور,Bisoprolol,beta blocker,كونكور ينفع للقلق والتوتر؟,general_info,0.92
INTN0069,كوزار,Losartan,angiotensin receptor blocker,كوزار بيحمي الكلى؟,general_info,0.95
INTN0070,سنجولار,Montelukast,antiasthmatic,سنجولار مع الإنسولين آمن؟,drug_interaction,0.94
INTN0071,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم بيسبب نقص فيتامين ب12؟,side_effects,0.93
INTN0072,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين لالتهاب الأذن؟,general_info,0.96
INTN0073,ليريكا,Pregabalin,antiepileptic,ليريكا بيأثر على التركيز؟,side_effects,0.95
INTN0074,فنتولين,Salbutamol,bronchodilator,فنتولين ينفع للربو المزمن؟,general_info,0.96
INTN0075,كلاريتين,Loratadine,antihistamine,كلاريتين سعره كام؟,price,0.93
INTN0076,ميتفورمين,Metformin,antidiabetic,ميتفورمين ينفع للـ PCOS؟,general_info,0.94
INTN0077,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين بيسبب ألم عضلات؟,side_effects,0.96
INTN0078,وارفارين,Warfarin,anticoagulant,وارفارين مع فيتامين K؟,drug_interaction,0.97
INTN0079,هارنال,Tamsulosin,alpha blocker,هارنال ينفع للنساء؟,contraindication,0.92
INTN0080,زيرتيك,Cetirizine,antihistamine,زيرتيك ينفع للجيوب الأنفية؟,general_info,0.95
INTN0081,بانادول,Paracetamol,analgesic,بانادول مع اللبن آمن؟,drug_interaction,0.94
INTN0082,بروفين,Ibuprofen,nsaid,بروفين للدورة الشهرية؟,general_info,0.96
INTN0083,كونكور,Bisoprolol,beta blocker,كونكور بيسبب ضعف انتصاب؟,side_effects,0.93
INTN0084,كوزار,Losartan,angiotensin receptor blocker,كوزار أفضل من الدواء القديم للضغط؟,general_info,0.94
INTN0085,سنجولار,Montelukast,antiasthmatic,سنجولار بياخد وقت طويل عشان يشتغل؟,dosage,0.95
INTN0086,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم ينفع أثناء الحمل؟,contraindication,0.93
INTN0087,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين بيقتل البكتيريا ولا الفيروسات؟,general_info,0.96
INTN0088,ليريكا,Pregabalin,antiepileptic,ليريكا ينفع للفيبروميالجيا؟,general_info,0.95
INTN0089,فنتولين,Salbutamol,bronchodilator,فنتولين بيسبب رعشة؟,side_effects,0.94
INTN0090,كلاريتين,Loratadine,antihistamine,كلاريتين ينفع للحكة في الجسم؟,general_info,0.95
INTN0091,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيحتاج فيتامين ب12؟,side_effects,0.93
INTN0092,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين سعره كام؟,price,0.92
INTN0093,وارفارين,Warfarin,anticoagulant,وارفارين ينفع للجلطات؟,general_info,0.96
INTN0094,هارنال,Tamsulosin,alpha blocker,هارنال بيسبب احتقان أنف؟,side_effects,0.94
INTN0095,زيرتيك,Cetirizine,antihistamine,زيرتيك مع الكحول خطر؟,drug_interaction,0.95
INTN0096,بانادول,Paracetamol,analgesic,بانادول للأطفال جرعته إيه؟,dosage,0.97
INTN0097,بروفين,Ibuprofen,nsaid,بروفين ينفع لالتهاب المفاصل؟,general_info,0.96
INTN0098,كونكور,Bisoprolol,beta blocker,كونكور مع أدوية الغدة الدرقية؟,drug_interaction,0.94
INTN0099,كوزار,Losartan,angiotensin receptor blocker,كوزار بيسبب سعال؟,side_effects,0.95
INTN0100,سنجولار,Montelukast,antiasthmatic,سنجولار ينفع مع بخاخات الربو؟,drug_interaction,0.96
INTN0101,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم موجود 40 مجم؟,availability,0.93
INTN0102,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين لالتهاب اللوزتين؟,general_info,0.96
INTN0103,ليريكا,Pregabalin,antiepileptic,ليريكا بيأثر على المزاج؟,side_effects,0.93
INTN0104,فنتولين,Salbutamol,bronchodilator,فنتولين ينفع للأطفال تحت 6 سنين؟,contraindication,0.94
INTN0105,كلاريتين,Loratadine,antihistamine,كلاريتين ينفع لمدة طويلة؟,dosage,0.95
INTN0106,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيسبب نقص فيتامين ب12؟,side_effects,0.94
INTN0107,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين ينفع للكوليسترول العالي؟,general_info,0.97
INTN0108,وارفارين,Warfarin,anticoagulant,وارفارين مع الأسبرين خطر؟,drug_interaction,0.96
INTN0109,هارنال,Tamsulosin,alpha blocker,هارنال بيخلي الإنسان يقوم كتير بالليل؟,side_effects,0.93
INTN0110,زيرتيك,Cetirizine,antihistamine,زيرتيك سعره رخيص ولا غالي؟,price,0.92
INTN0111,بانادول,Paracetamol,analgesic,بانادول إكسترا أقوى من العادي؟,general_info,0.95
INTN0112,بروفين,Ibuprofen,nsaid,بروفين 400 أو 600 أفضل؟,dosage,0.94
INTN0113,كونكور,Bisoprolol,beta blocker,كونكور 5 مجم كفاية؟,dosage,0.96
INTN0114,كوزار,Losartan,angiotensin receptor blocker,كوزار 50 أو 100 مجم؟,dosage,0.95
INTN0115,سنجولار,Montelukast,antiasthmatic,سنجولار 10 مجم يوميًا؟,dosage,0.97
INTN0116,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم 20 مجم كفاية للحموضة؟,dosage,0.94
INTN0117,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين 625 مجم كام مرة؟,dosage,0.96
INTN0118,ليريكا,Pregabalin,antiepileptic,ليريكا 75 مجم ينفع؟,dosage,0.95
INTN0119,فنتولين,Salbutamol,bronchodilator,فنتولين يستخدم عند الحاجة فقط؟,dosage,0.96
INTN0120,كلاريتين,Loratadine,antihistamine,كلاريتين 10 مجم مرة واحدة يوميًا؟,dosage,0.97
INTN0121,ميتفورمين,Metformin,antidiabetic,ميتفورمين 500 مجم كام مرة؟,dosage,0.96
INTN0122,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين 20 مجم كفاية؟,dosage,0.95
INTN0123,وارفارين,Warfarin,anticoagulant,وارفارين الجرعة بتتعدل حسب التحليل؟,general_info,0.97
INTN0124,هارنال,Tamsulosin,alpha blocker,هارنال 0.4 مجم قبل النوم؟,dosage,0.96
INTN0125,زيرتيك,Cetirizine,antihistamine,زيرتيك 10 مجم يوميًا؟,dosage,0.96
INTN0126,بانادول,Paracetamol,analgesic,بانادول شراب للأطفال جرعته إيه؟,dosage,0.97
INTN0127,بروفين,Ibuprofen,nsaid,بروفين شراب للأطفال؟,availability,0.94
INTN0128,كونكور,Bisoprolol,beta blocker,كونكور موجود 2.5 مجم؟,availability,0.93
INTN0129,كوزار,Losartan,angiotensin receptor blocker,كوزار موجود 25 مجم؟,availability,0.92
INTN0130,سنجولار,Montelukast,antiasthmatic,سنجولار شراب موجود؟,availability,0.94
INTN0131,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم موجود كبسولات وأقراص؟,availability,0.95
INTN0132,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين شراب للأطفال؟,availability,0.96
INTN0133,ليريكا,Pregabalin,antiepileptic,ليريكا كبسولات 150 مجم موجودة؟,availability,0.93
INTN0134,فنتولين,Salbutamol,bronchodilator,فنتولين بخاخ موجود دايمًا؟,availability,0.94
INTN0135,كلاريتين,Loratadine,antihistamine,كلاريتين شراب موجود؟,availability,0.93
INTN0136,ميتفورمين,Metformin,antidiabetic,ميتفورمين 1000 مجم موجود؟,availability,0.92
INTN0137,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين 40 مجم موجود؟,availability,0.93
INTN0138,وارفارين,Warfarin,anticoagulant,وارفارين 5 مجم موجود؟,availability,0.95
INTN0139,هارنال,Tamsulosin,alpha blocker,هارنال موجود 0.4 مجم؟,availability,0.94
INTN0140,زيرتيك,Cetirizine,antihistamine,زيرتيك موجود 5 مجم للأطفال؟,availability,0.93
INTN0141,بانادول,Paracetamol,analgesic,بانادول نايت موجود؟,availability,0.92
INTN0142,بروفين,Ibuprofen,nsaid,بروفين 600 مجم موجود؟,availability,0.93
INTN0143,كونكور,Bisoprolol,beta blocker,كونكور 10 مجم موجود؟,availability,0.94
INTN0144,كوزار,Losartan,angiotensin receptor blocker,كوزار بلس موجود؟,availability,0.95
INTN0145,سنجولار,Montelukast,antiasthmatic,سنجولار 4 مجم للأطفال؟,availability,0.94
INTN0146,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم 40 مجم موجود؟,availability,0.96
INTN0147,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين ES موجود؟,availability,0.93
INTN0148,ليريكا,Pregabalin,antiepileptic,ليريكا 300 مجم موجود؟,availability,0.92
INTN0149,فنتولين,Salbutamol,bronchodilator,فنتولين nebules موجود؟,availability,0.94
INTN0150,كلاريتين,Loratadine,antihistamine,كلاريتين ديس لوراتادين موجود؟,availability,0.93
INTN0151,بانادول,Paracetamol,analgesic,بانادول أطفال سعره كام؟,price,0.92
INTN0152,بروفين,Ibuprofen,nsaid,بروفين شراب سعره كام؟,price,0.93
INTN0153,كونكور,Bisoprolol,beta blocker,كونكور 5 مجم علبة كام؟,price,0.94
INTN0154,كوزار,Losartan,angiotensin receptor blocker,كوزار 50 مجم سعره كام؟,price,0.93
INTN0155,سنجولار,Montelukast,antiasthmatic,سنجولار 10 مجم سعره كام؟,price,0.94
INTN0156,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم 20 مجم سعره كام؟,price,0.92
INTN0157,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين 625 سعره كام؟,price,0.93
INTN0158,ليريكا,Pregabalin,antiepileptic,ليريكا 75 مجم سعره كام؟,price,0.92
INTN0159,فنتولين,Salbutamol,bronchodilator,فنتولين بخاخ سعره كام؟,price,0.93
INTN0160,كلاريتين,Loratadine,antihistamine,كلاريتين 10 مجم سعره كام؟,price,0.94
INTN0161,ميتفورمين,Metformin,antidiabetic,ميتفورمين 500 مجم سعره كام؟,price,0.92
INTN0162,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين 20 مجم سعره كام؟,price,0.93
INTN0163,وارفارين,Warfarin,anticoagulant,وارفارين 5 مجم سعره كام؟,price,0.94
INTN0164,هارنال,Tamsulosin,alpha blocker,هارنال 0.4 مجم سعره كام؟,price,0.93
INTN0165,زيرتيك,Cetirizine,antihistamine,زيرتيك 10 مجم سعره كام؟,price,0.92
INTN0166,بانادول,Paracetamol,analgesic,بانادول إكسترا سعره كام؟,price,0.93
INTN0167,بروفين,Ibuprofen,nsaid,بروفين 400 مجم سعره كام؟,price,0.92
INTN0168,كونكور,Bisoprolol,beta blocker,كونكور 10 مجم سعره كام؟,price,0.93
INTN0169,كوزار,Losartan,angiotensin receptor blocker,كوزار بلس سعره كام؟,price,0.94
INTN0170,سنجولار,Montelukast,antiasthmatic,سنجولار شراب سعره كام؟,price,0.93
INTN0171,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم 40 مجم سعره كام؟,price,0.92
INTN0172,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين شراب سعره كام؟,price,0.93
INTN0173,ليريكا,Pregabalin,antiepileptic,ليريكا 150 مجم سعره كام؟,price,0.92
INTN0174,فنتولين,Salbutamol,bronchodilator,فنتولين nebules سعره كام؟,price,0.93
INTN0175,كلاريتين,Loratadine,antihistamine,كلاريتين شراب سعره كام؟,price,0.92
INTN0176,ميتفورمين,Metformin,antidiabetic,ميتفورمين 1000 مجم سعره كام؟,price,0.93
INTN0177,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين 40 مجم سعره كام؟,price,0.92
INTN0178,وارفارين,Warfarin,anticoagulant,وارفارين سعره كام؟,price,0.94
INTN0179,هارنال,Tamsulosin,alpha blocker,هارنال سعره كام؟,price,0.93
INTN0180,زيرتيك,Cetirizine,antihistamine,زيرتيك سعره كام؟,price,0.92
INTN0181,بانادول,Paracetamol,analgesic,بانادول نايت سعره كام؟,price,0.93
INTN0182,بروفين,Ibuprofen,nsaid,بروفين 600 مجم سعره كام؟,price,0.92
INTN0183,كونكور,Bisoprolol,beta blocker,كونكور 2.5 مجم سعره كام؟,price,0.93
INTN0184,كوزار,Losartan,angiotensin receptor blocker,كوزار 25 مجم سعره كام؟,price,0.92
INTN0185,سنجولار,Montelukast,antiasthmatic,سنجولار 4 مجم سعره كام؟,price,0.93
INTN0186,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم سعره كام تقريبًا؟,price,0.92
INTN0187,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين 1 جم سعره كام؟,price,0.93
INTN0188,ليريكا,Pregabalin,antiepileptic,ليريكا 300 مجم سعره كام؟,price,0.92
INTN0189,ميتفورمين,Metformin,antidiabetic,ميتفورمين سعره رخيص؟,price,0.93
INTN0190,هارنال,Tamsulosin,alpha blocker,هارنال سعره كام تقريبًا؟,price,0.92
INTN0191,كونكور,Bisoprolol,beta blocker,كونكور سعره كام؟,price,0.92
INTN0192,كوزار,Losartan,angiotensin receptor blocker,كوزار سعره كام؟,price,0.93
INTN0193,سنجولار,Montelukast,antiasthmatic,سنجولار سعره كام؟,price,0.94
INTN0194,بانادول,Paracetamol,analgesic,بانادول ينفع لوجع الأسنان الشديد؟,general_info,0.95
INTN0195,بانادول,Paracetamol,analgesic,هل آخد بانادول على معدة فاضية؟,dosage,0.94
INTN0196,بروفين,Ibuprofen,nsaid,بروفين بيسبب حرقان في المعدة؟,side_effects,0.96
INTN0197,كونكور,Bisoprolol,beta blocker,كونكور بيخلي الإيدين باردة؟,side_effects,0.94
INTN0198,كوزار,Losartan,angiotensin receptor blocker,كوزار بيحسن وظيفة الكلى؟,general_info,0.95
INTN0199,سنجولار,Montelukast,antiasthmatic,سنجولار بيمنع نوبات الربو؟,general_info,0.96
INTN0200,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم بيوقف الحموضة نهائي؟,general_info,0.93
INTN0201,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين بيحتاج يتاخد مع الاكل؟,dosage,0.95
INTN0202,ليريكا,Pregabalin,antiepileptic,ليريكا بيأثر على النوم؟,side_effects,0.94
INTN0203,فنتولين,Salbutamol,bronchodilator,فنتولين بيفتح الشعب الهوائية بسرعة؟,general_info,0.97
INTN0204,كلاريتين,Loratadine,antihistamine,كلاريتين ينفع للحساسية من الغبار؟,general_info,0.95
INTN0205,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيحسن مقاومة الإنسولين؟,general_info,0.94
INTN0206,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين بيقلل الكوليسترول الضار؟,general_info,0.96
INTN0207,وارفارين,Warfarin,anticoagulant,وارفارين بيمنع الجلطات في القلب؟,general_info,0.96
INTN0208,هارنال,Tamsulosin,alpha blocker,هارنال بيخلي التبول أسهل؟,general_info,0.95
INTN0209,زيرتيك,Cetirizine,antihistamine,زيرتيك بيشتغل بعد كام ساعة؟,dosage,0.94
INTN0210,بانادول,Paracetamol,analgesic,بانادول مع الكحول خطر؟,drug_interaction,0.96
INTN0211,بروفين,Ibuprofen,nsaid,بروفين ينفع بعد العمليات؟,general_info,0.93
INTN0212,كونكور,Bisoprolol,beta blocker,كونكور بيقلل ضربات القلب الزيادة؟,general_info,0.96
INTN0213,كوزار,Losartan,angiotensin receptor blocker,كوزار بيحمي القلب؟,general_info,0.95
INTN0214,سنجولار,Montelukast,antiasthmatic,سنجولار ينفع للأنف المتسرب؟,general_info,0.94
INTN0215,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم بيعلاج الارتجاع المريئي؟,general_info,0.97
INTN0216,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين ينفع لالتهاب الجيوب الأنفية؟,general_info,0.95
INTN0217,ليريكا,Pregabalin,antiepileptic,ليريكا بيستخدم للقلق أحيانًا؟,general_info,0.92
INTN0218,فنتولين,Salbutamol,bronchodilator,فنتولين بيسبب خفقان القلب؟,side_effects,0.95
INTN0219,كلاريتين,Loratadine,antihistamine,كلاريتين ينفع للعطس المتكرر؟,general_info,0.94
INTN0220,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيقلل السكر في الدم؟,general_info,0.96
INTN0221,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين بيمنع تصلب الشرايين؟,general_info,0.95
INTN0222,وارفارين,Warfarin,anticoagulant,وارفارين بيحتاج نظام غذائي معين؟,dosage,0.96
INTN0223,هارنال,Tamsulosin,alpha blocker,هارنال بيأثر على الرؤية؟,side_effects,0.93
INTN0224,زيرتيك,Cetirizine,antihistamine,زيرتيك بيسبب جفاف الفم؟,side_effects,0.94
INTN0225,بانادول,Paracetamol,analgesic,بانادول أطفال جرعته حسب الوزن؟,dosage,0.97
INTN0226,بروفين,Ibuprofen,nsaid,بروفين شراب جرعته للأطفال؟,dosage,0.95
INTN0227,كونكور,Bisoprolol,beta blocker,كونكور ينفع بعد الجلطة؟,general_info,0.94
INTN0228,كوزار,Losartan,angiotensin receptor blocker,كوزار بلس فيه مدر للبول؟,general_info,0.95
INTN0229,سنجولار,Montelukast,antiasthmatic,سنجولار ينفع للأطفال من سن 2 سنة؟,contraindication,0.94
INTN0230,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم بياخد صباحًا ولا مساءً؟,dosage,0.96
INTN0231,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين بيحتاج يخلص كله حتى لو تحسنت؟,dosage,0.97
INTN0232,ليريكا,Pregabalin,antiepileptic,ليريكا بيوقف الألم العصبي بسرعة؟,general_info,0.94
INTN0233,فنتولين,Salbutamol,bronchodilator,فنتولين ينفع في أزمة الربو الحادة؟,general_info,0.96
INTN0234,كلاريتين,Loratadine,antihistamine,كلاريتين ينفع للطفح الجلدي؟,general_info,0.93
INTN0235,ميتفورمين,Metformin,antidiabetic,ميتفورمين بيقلل الشهية؟,side_effects,0.92
INTN0236,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين بياخد قبل النوم أفضل؟,dosage,0.95
INTN0237,وارفارين,Warfarin,anticoagulant,وارفارين بيحتاج تجنب الجراحات بدون استشارة؟,contraindication,0.96
INTN0238,هارنال,Tamsulosin,alpha blocker,هارنال بيخلي الضغط ينزل؟,side_effects,0.94
INTN0239,زيرتيك,Cetirizine,antihistamine,زيرتيك ينفع للأكزيما؟,general_info,0.93
INTN0240,بانادول,Paracetamol,analgesic,بانادول إكسترا للوجع الشديد؟,general_info,0.95
INTN0241,بروفين,Ibuprofen,nsaid,بروفين 400 مجم كام مرة في اليوم؟,dosage,0.96
INTN0242,كونكور,Bisoprolol,beta blocker,كونكور 5 مجم يوميًا كفاية؟,dosage,0.95
INTN0243,كوزار,Losartan,angiotensin receptor blocker,كوزار 100 مجم جرعة قوية؟,dosage,0.94
INTN0244,سنجولار,Montelukast,antiasthmatic,سنجولار 5 مجم للأطفال؟,dosage,0.95
INTN0245,نيكسيوم,Esomeprazole,proton pump inhibitor,نيكسيوم 40 مجم للقرحة؟,dosage,0.96
INTN0246,أوجمنتين,Amoxicillin-Clavulanate,antibiotic,أوجمنتين 1 جرام كام مرة؟,dosage,0.95
INTN0247,ليريكا,Pregabalin,antiepileptic,ليريكا 150 مجم مرتين يوميًا؟,dosage,0.94
INTN0248,فنتولين,Salbutamol,bronchodilator,فنتولين بخاخ كام نفخة في المرة؟,dosage,0.96
INTN0249,كلاريتين,Loratadine,antihistamine,كلاريتين مرة واحدة بس في اليوم؟,dosage,0.97
INTN0250,ميتفورمين,Metformin,antidiabetic,ميتفورمين 850 مجم كام مرة؟,dosage,0.95
INTN0251,أتورفاستاتين,Atorvastatin,statin,أتورفاستاتين 10 مجم كفاية في البداية؟,dosage,0.94
INTN0252,وارفارين,Warfarin,anticoagulant,وارفارين الجرعة بتتغير حسب INR؟,dosage,0.97
INTN0253,هارنال,Tamsulosin,alpha blocker,هارنال بعد الأكل ولا قبله؟,dosage,0.94
