raw_text,normalized_text,intent,drug_entities
هل Panadol يتعارض مع باراسيتامول؟ يا دكتور,هل Panadol يتعارض مع Paracetamol؟ يا دكتور,interaction,Panadol|Paracetamol
ينفع اخد اموكسيسيلين مع Cataflam؟ ضروري,هل يمكن أتناول Amoxicillin مع Cataflam؟ ضروري,interaction,Amoxicillin|Cataflam
هل Cataflam ممنوع لمرضى القلب؟ بعد إذنك,هل Cataflam ممنوع لمرضى القلب؟ بعد إذنك,contraindication,Cataflam
اخد Augmentin كام مرة في اليوم؟ عشان تعبان,أتناول Augmentin ما مرة في اليوم؟ عشان تعبان,dosage,Augmentin
هل اخد Brufen الصبح ولا بالليل؟ عايز رد سريع,هل أتناول Brufen الصبح ولا بالليل؟ عايز رد سريع,dosage,Brufen
هل Panadol مناسب لمرضى السكر؟ لو سمحت,هل Panadol مناسب لمرضى السكر؟ لو سمحت,contraindication,Panadol
هل طبيعي Aspirin يعمل نعاس؟ لو سمحت,هل طبيعي Aspirin يعمل نعاس؟ لو سمحت,side_effects,Aspirin
هل Panadol مناسب لمرضى السكر؟ لو تكرمت,هل Panadol مناسب لمرضى السكر؟ لو تكرمت,contraindication,Panadol
هل كونجستول يسبب صداع؟ أنا قلقان,هل Congestal يسبب صداع؟ أنا قلقان,side_effects,Congestal
ازاي استخدم زيرتك أنا قلقان,ازاي استخدم Zyrtec أنا قلقان,dosage,Zyrtec
هل كتافلام بيزود ضربات القلب؟ لو تكرمت,هل Cataflam بيزود ضربات القلب؟ لو تكرمت,side_effects,Cataflam
بعد زيرتك حسيت بغثيان عشان تعبان,بعد Zyrtec حسيت بغثيان عشان تعبان,side_effects,Zyrtec
هل Aspirin بيأثر على النوم؟ بجد,هل Aspirin بيأثر على النوم؟ بجد,side_effects,Aspirin
ممكن اخد بنادول مع Zyrtec في نفس اليوم؟ محتاج أعرف,ممكن أتناول Panadol مع Zyrtec في نفس اليوم؟ محتاج أعرف,interaction,Panadol|Zyrtec
هل كونجستال ممنوع مع الرضاعة؟ لو سمحت,هل Congestal ممنوع مع الرضاعة؟ لو سمحت,contraindication,Congestal
هل الاسبرين يتاخد مرتين ولا تلاته؟,هل الAspirin يتم تناوله مرتين ولا تلاته؟,dosage,Aspirin
هل Panadol يتاخد مع علاج تاني زي Brufen؟ ممكن تساعدني,هل Panadol يتم تناوله مع علاج تاني زي Brufen؟ ممكن تساعدني,interaction,Panadol|Brufen
هل اوجمنتين يتاخد مع علاج تاني زي اموكسيسيلين؟ ضروري,هل Augmentin يتم تناوله مع علاج تاني زي Amoxicillin؟ ضروري,interaction,Augmentin|Amoxicillin
جرعة Brufen المناسبة ايه؟,جرعة Brufen المناسبة ما هي؟,dosage,Brufen
هل Cataflam ينفع لمريض سكر وضغط؟ أنا قلقان,هل Cataflam هل يمكن لمريض سكر وضغط؟ أنا قلقان,contraindication,Cataflam
هل Aspirin ممكن يسبب حساسية في الجلد؟ أنا قلقان,هل Aspirin ممكن يسبب حساسية في الجلد؟ أنا قلقان,side_effects,Aspirin
هل الاسبرين يتعارض مع باراسيتامول؟ أنا قلقان,هل الAspirin يتعارض مع Paracetamol؟ أنا قلقان,interaction,Aspirin|Paracetamol
جرعة كونجستول المناسبة ايه؟ أنا قلقان,جرعة Congestal المناسبة ما هي؟ أنا قلقان,dosage,Congestal
هل كبار السن ينفع ياخدوا باراسيتامول؟ لو سمحت,هل كبار السن هل يمكن يأتناولوا Paracetamol؟ لو سمحت,contraindication,Paracetamol
هل بروفين ممكن يسبب حساسية في الجلد؟ عشان تعبان,هل Brufen ممكن يسبب حساسية في الجلد؟ عشان تعبان,side_effects,Brufen
هل Congestal يقلل مفعول بنادوول؟ ضروري جدًا,هل Congestal يقلل مفعول Panadol؟ ضروري جدًا,interaction,Congestal|Panadol
في اعراض خطيرة من Augmentin؟ ضروري جدًا,في اعراض خطيرة من Augmentin؟ ضروري جدًا,side_effects,Augmentin
مين ممنوع ياخد فلاجيل؟ عايز رد سريع,مين ممنوع يأتناول Flagyl؟ عايز رد سريع,contraindication,Flagyl
لو نسيت جرعة Cataflam اعمل ايه؟ من فضلك,لو نسيت جرعة Cataflam اعمل ما هي؟ من فضلك,dosage,Cataflam
لو خدت اسبرين و بنادول في نفس اليوم عادي؟ يا دكتور,لو خدت Aspirin و Panadol في نفس اليوم عادي؟ يا دكتور,interaction,Aspirin|Panadol
اخدت Flagyl وطلعلي طفح جلدي ضروري,تناولت Flagyl وطلعلي طفح جلدي ضروري,side_effects,Flagyl
هل بروفين ممنوع لمرضى القلب؟ عايز رد سريع,هل Brufen ممنوع لمرضى القلب؟ عايز رد سريع,contraindication,Brufen
هل Brufen بيزود ضربات القلب؟ يا دكتور,هل Brufen بيزود ضربات القلب؟ يا دكتور,side_effects,Brufen
هل الجمع بين Flagyl و اسبرين خطر؟ يا دكتور,هل الجمع بين Flagyl و Aspirin خطر؟ يا دكتور,interaction,Flagyl|Aspirin
هل Aspirin ممكن يسبب حساسية في الجلد؟ ممكن تساعدني,هل Aspirin ممكن يسبب حساسية في الجلد؟ ممكن تساعدني,side_effects,Aspirin
هل في مشكلة لو اخدت الاسبرين و باراسيتامول مع بعض؟ رد بسرعة,هل في مشكلة لو تناولت الAspirin و Paracetamol مع بعض؟ رد بسرعة,interaction,Aspirin|Paracetamol
هل بنادول آمن للحامل؟ عايز رد سريع,هل Panadol آمن للحامل؟ عايز رد سريع,contraindication,Panadol
هل Amoxicillin ينفع لمريض سكر وضغط؟ ضروري,هل Amoxicillin هل يمكن لمريض سكر وضغط؟ ضروري,contraindication,Amoxicillin
هل بنادول ممكن يسبب حساسية في الجلد؟ بعد إذنك,هل Panadol ممكن يسبب حساسية في الجلد؟ بعد إذنك,side_effects,Panadol
ينفع اخد Congestal مع Brufen؟ بجد,هل يمكن أتناول Congestal مع Brufen؟ بجد,interaction,Congestal|Brufen
بعد بنادول حسيت بغثيان لو سمحت,بعد Panadol حسيت بغثيان لو سمحت,side_effects,Panadol
هل في تعارض بين اسبرين و كتافلام؟ أنا قلقان,هل في تعارض بين Aspirin و Cataflam؟ أنا قلقان,interaction,Aspirin|Cataflam
ممكن تقوللي جرعة بنادوول الصح؟ ضروري جدًا,ممكن تقوللي جرعة Panadol الصح؟ ضروري جدًا,dosage,Panadol
ايه اعراض بنادوول الجانبية؟ أنا قلقان,ما هي اعراض Panadol الجانبية؟ أنا قلقان,side_effects,Panadol
لو عندي قرحة ينفع اخد كونجستال؟ أنا قلقان,لو عندي قرحة هل يمكن أتناول Congestal؟ أنا قلقان,contraindication,Congestal
اخد اسبرين كام مرة في اليوم؟,أتناول Aspirin ما مرة في اليوم؟,dosage,Aspirin
Panadol بيعمل نعاس؟ أنا قلقان,Panadol يسبب نعاس؟ أنا قلقان,side_effects,Panadol
هل كونجستال يتاخد مرتين ولا تلاته؟ رد بسرعة,هل Congestal يتم تناوله مرتين ولا تلاته؟ رد بسرعة,dosage,Congestal
البروفين ممكن يعمل تعب في المعدة؟ عشان تعبان,الBrufen ممكن يعمل تعب في المعدة؟ عشان تعبان,side_effects,Brufen
هل استخدام كتافلام مع Congestal آمن؟ عايز رد سريع,هل استخدام Cataflam مع Congestal آمن؟ عايز رد سريع,interaction,Cataflam|Congestal
هل Panadol خطر على القلب؟ عايز رد سريع,هل Panadol خطر على القلب؟ عايز رد سريع,contraindication,Panadol
جرعة بنادوول للبالغين كام؟ بعد إذنك,جرعة Panadol للبالغين ما؟ بعد إذنك,dosage,Panadol
لو عندي فشل كلوي ينفع اوجمنتين؟ لو تكرمت,لو عندي فشل كلوي هل يمكن Augmentin؟ لو تكرمت,contraindication,Augmentin
هل زيرتك يتاخد مع علاج تاني زي بنادوول؟ محتاج أعرف,هل Zyrtec يتم تناوله مع علاج تاني زي Panadol؟ محتاج أعرف,interaction,Zyrtec|Panadol
هل في مشكلة لو اخدت Brufen و الاسبرين مع بعض؟,هل في مشكلة لو تناولت Brufen و الAspirin مع بعض؟,interaction,Brufen|Aspirin
عندي مشاكل كبد ينفع اخد اسبرين؟ عايز رد سريع,عندي مشاكل كبد هل يمكن أتناول Aspirin؟ عايز رد سريع,contraindication,Aspirin
ينفع الحامل تاخد كتافلام؟ عشان تعبان,هل يمكن الحامل تأتناول Cataflam؟ عشان تعبان,contraindication,Cataflam
ينفع اخد Panadol قبل الاكل ولا بعده؟ بعد إذنك,هل يمكن أتناول Panadol قبل الاكل ولا بعده؟ بعد إذنك,dosage,Panadol
هل البروفين آمن للرضاعة؟ عايز رد سريع,هل الBrufen آمن للرضاعة؟ عايز رد سريع,contraindication,Brufen
هل كونجستال يسبب حساسية؟ ضروري جدًا,هل Congestal يسبب حساسية؟ ضروري جدًا,side_effects,Congestal
هل طبيعي اسبرين يعمل نعاس؟ لو تكرمت,هل طبيعي Aspirin يعمل نعاس؟ لو تكرمت,side_effects,Aspirin
هل اموكسيسيلين يقلل مفعول Brufen؟ عشان تعبان,هل Amoxicillin يقلل مفعول Brufen؟ عشان تعبان,interaction,Amoxicillin|Brufen
هل اسبرين ممنوع لمرضى القلب؟ أنا قلقان,هل Aspirin ممنوع لمرضى القلب؟ أنا قلقان,contraindication,Aspirin
هل الاسبرين له أعراض جانبية خطيرة؟ ضروري جدًا,هل الAspirin له أعراض جانبية خطيرة؟ ضروري جدًا,side_effects,Aspirin
هل Cataflam بيزود ضربات القلب؟ بعد إذنك,هل Cataflam بيزود ضربات القلب؟ بعد إذنك,side_effects,Cataflam
ممكن اعرف جرعة اوجمنتين لو سمحت,ممكن اعرف جرعة Augmentin لو سمحت,dosage,Augmentin
هل كونجستال يسبب صداع؟ ضروري جدًا,هل Congestal يسبب صداع؟ ضروري جدًا,side_effects,Congestal
هل باراسيتامول ممكن يسبب حساسية في الجلد؟ من فضلك,هل Paracetamol ممكن يسبب حساسية في الجلد؟ من فضلك,side_effects,Paracetamol
هل بروفين ممنوع مع الرضاعة؟ أنا قلقان,هل Brufen ممنوع مع الرضاعة؟ أنا قلقان,contraindication,Brufen
Aspirin بيعمل نعاس؟ ضروري,Aspirin يسبب نعاس؟ ضروري,side_effects,Aspirin
كم قرص من Brufen في اليوم؟ محتاج أعرف,كم قرص من Brufen في اليوم؟ محتاج أعرف,dosage,Brufen
هل Aspirin بيتاخد كل كام ساعة؟ لو تكرمت,هل Aspirin بيتم تناوله كل ما ساعة؟ لو تكرمت,dosage,Aspirin
هل Augmentin مناسب للأطفال؟ يا دكتور,هل Augmentin مناسب للأطفال؟ يا دكتور,contraindication,Augmentin
لو خدت Cataflam وبعده اسبرين يحصل مشكلة؟ ضروري,لو خدت Cataflam وبعده Aspirin يحصل مشكلة؟ ضروري,interaction,Cataflam|Aspirin
انا باخد بروفين ينفع اضيف عليه كتافلام؟ لو تكرمت,انا أتناول Brufen هل يمكن اضيف عليه Cataflam؟ لو تكرمت,interaction,Brufen|Cataflam
هل Cataflam آمن للرضاعة؟ عشان تعبان,هل Cataflam آمن للرضاعة؟ عشان تعبان,contraindication,Cataflam
هل في مشكلة لو اخدت Zyrtec و Paracetamol مع بعض؟ لو سمحت,هل في مشكلة لو تناولت Zyrtec و Paracetamol مع بعض؟ لو سمحت,interaction,Zyrtec|Paracetamol
هل الاسبرين ممنوع لمرضى القلب؟ يا دكتور,هل الAspirin ممنوع لمرضى القلب؟ يا دكتور,contraindication,Aspirin
هل Aspirin خطر على الكلى؟ من فضلك,هل Aspirin خطر على الكلى؟ من فضلك,contraindication,Aspirin
اخدت Augmentin وحاسس بتعب,تناولت Augmentin وحاسس بتعب,side_effects,Augmentin
هل فلاجيل يسبب صداع؟ لو تكرمت,هل Flagyl يسبب صداع؟ لو تكرمت,side_effects,Flagyl
الجرعة كام ل Paracetamol؟ من فضلك,الجرعة ما ل Paracetamol؟ من فضلك,dosage,Paracetamol
هل فلاجيل خطر لمرضى الضغط؟ محتاج أعرف,هل Flagyl خطر لمرضى الضغط؟ محتاج أعرف,contraindication,Flagyl
لو عندي برد اخد جرعة Amoxicillin قد ايه؟,لو عندي برد أتناول جرعة Amoxicillin قد ما هي؟,dosage,Amoxicillin
لو خدت Congestal وبعده باراسيتامول يحصل مشكلة؟ يا دكتور,لو خدت Congestal وبعده Paracetamol يحصل مشكلة؟ يا دكتور,interaction,Congestal|Paracetamol
هل في تعارض بين كونجستال و بروفين؟ ممكن تساعدني,هل في تعارض بين Congestal و Brufen؟ ممكن تساعدني,interaction,Congestal|Brufen
لو عندي برد اخد جرعة Cataflam قد ايه؟ بعد إذنك,لو عندي برد أتناول جرعة Cataflam قد ما هي؟ بعد إذنك,dosage,Cataflam
هل كبار السن ينفع ياخدوا كتافلام؟ من فضلك,هل كبار السن هل يمكن يأتناولوا Cataflam؟ من فضلك,contraindication,Cataflam
جرعة زيرتك المناسبة ايه؟ محتاج أعرف,جرعة Zyrtec المناسبة ما هي؟ محتاج أعرف,dosage,Zyrtec
هل بنادوول يقلل مفعول كتافلام؟ عايز رد سريع,هل Panadol يقلل مفعول Cataflam؟ عايز رد سريع,interaction,Panadol|Cataflam
لو خدت الاسبرين و اوجمنتين في نفس اليوم عادي؟ لو تكرمت,لو خدت الAspirin و Augmentin في نفس اليوم عادي؟ لو تكرمت,interaction,Aspirin|Augmentin
هل البروفين له أعراض جانبية خطيرة؟ يا دكتور,هل الBrufen له أعراض جانبية خطيرة؟ يا دكتور,side_effects,Brufen
بعد ما اخدت Amoxicillin حسيت بدوخة ممكن تساعدني,بعد ما تناولت Amoxicillin حسيت بدوخة ممكن تساعدني,side_effects,Amoxicillin
هل بنادوول خطر على الكلى؟ ضروري,هل Panadol خطر على الكلى؟ ضروري,contraindication,Panadol
لو الجرعة راحت عليا من Congestal اعمل ايه؟ أنا قلقان,لو الجرعة راحت عليا من Congestal اعمل ما هي؟ أنا قلقان,dosage,Congestal
هل كتافلام يقلل مفعول Zyrtec؟ يا دكتور,هل Cataflam يقلل مفعول Zyrtec؟ يا دكتور,interaction,Cataflam|Zyrtec
ينفع اكرر فلاجيل كل كام ساعة؟ أنا قلقان,هل يمكن اكرر Flagyl كل ما ساعة؟ أنا قلقان,dosage,Flagyl
انا باخد Panadol هل اوجمنتين هيأثر عليه؟ عشان تعبان,انا أتناول Panadol هل Augmentin هيأثر عليه؟ عشان تعبان,interaction,Panadol|Augmentin
هل كتافلام يتاخد مع علاج تاني زي كونجستال؟ عايز رد سريع,هل Cataflam يتم تناوله مع علاج تاني زي Congestal؟ عايز رد سريع,interaction,Cataflam|Congestal
جرعة اموكسيسيلين للبالغين كام؟ عشان تعبان,جرعة Amoxicillin للبالغين ما؟ عشان تعبان,dosage,Amoxicillin
هل في تعارض بين Flagyl و Brufen؟ يا دكتور,هل في تعارض بين Flagyl و Brufen؟ يا دكتور,interaction,Flagyl|Brufen
هل في تعارض بين Congestal و اموكسيسيلين؟,هل في تعارض بين Congestal و Amoxicillin؟,interaction,Congestal|Amoxicillin
انا اخدت باراسيتامول وحاسس بخمول ضروري,انا تناولت Paracetamol وحاسس بخمول ضروري,side_effects,Paracetamol
هل اقدر اخلط Aspirin مع بنادوول؟ أنا قلقان,هل اقدر اخلط Aspirin مع Panadol؟ أنا قلقان,interaction,Aspirin|Panadol
هل Panadol ممنوع لمرضى القلب؟ عايز رد سريع,هل Panadol ممنوع لمرضى القلب؟ عايز رد سريع,contraindication,Panadol
بعد ما اخدت Aspirin حسيت بدوخة من فضلك,بعد ما تناولت Aspirin حسيت بدوخة من فضلك,side_effects,Aspirin
هل اسبرين مناسب لمرضى السكر؟ من فضلك,هل Aspirin مناسب لمرضى السكر؟ من فضلك,contraindication,Aspirin
بعد ما اخدت كتافلام حسيت بدوخة عشان تعبان,بعد ما تناولت Cataflam حسيت بدوخة عشان تعبان,side_effects,Cataflam
هل Zyrtec آمن للرضاعة؟ ضروري,هل Zyrtec آمن للرضاعة؟ ضروري,contraindication,Zyrtec
هل Augmentin مناسب لمرضى السكر؟ عشان تعبان,هل Augmentin مناسب لمرضى السكر؟ عشان تعبان,contraindication,Augmentin
ممكن اخد كونجستال مع باراسيتامول في نفس اليوم؟ ضروري جدًا,ممكن أتناول Congestal مع Paracetamol في نفس اليوم؟ ضروري جدًا,interaction,Congestal|Paracetamol
هل اخد Brufen الصبح ولا بالليل؟ يا دكتور,هل أتناول Brufen الصبح ولا بالليل؟ يا دكتور,dosage,Brufen
ممكن اخد Flagyl مع اوجمنتين في نفس اليوم؟ ضروري جدًا,ممكن أتناول Flagyl مع Augmentin في نفس اليوم؟ ضروري جدًا,interaction,Flagyl|Augmentin
اخد بروفين كام مرة في اليوم؟ عشان تعبان,أتناول Brufen ما مرة في اليوم؟ عشان تعبان,dosage,Brufen
ينفع الحامل تاخد Aspirin؟ ضروري,هل يمكن الحامل تأتناول Aspirin؟ ضروري,contraindication,Aspirin
ازاي استخدم اسبرين محتاج أعرف,ازاي استخدم Aspirin محتاج أعرف,dosage,Aspirin
لو خدت Aspirin و Amoxicillin في نفس اليوم عادي؟ لو سمحت,لو خدت Aspirin و Amoxicillin في نفس اليوم عادي؟ لو سمحت,interaction,Aspirin|Amoxicillin
هل بنادول يقلل مفعول فلاجيل؟ لو سمحت,هل Panadol يقلل مفعول Flagyl؟ لو سمحت,interaction,Panadol|Flagyl
هل استخدام اسبرين مع اوجمنتين آمن؟ من فضلك,هل استخدام Aspirin مع Augmentin آمن؟ من فضلك,interaction,Aspirin|Augmentin
ممكن اخد بنادوول مع Cataflam في نفس اليوم؟ رد بسرعة,ممكن أتناول Panadol مع Cataflam في نفس اليوم؟ رد بسرعة,interaction,Panadol|Cataflam
هل Aspirin مناسب للأطفال؟ بعد إذنك,هل Aspirin مناسب للأطفال؟ بعد إذنك,contraindication,Aspirin
ممكن اعرف جرعة اوجمنتين أنا قلقان,ممكن اعرف جرعة Augmentin أنا قلقان,dosage,Augmentin
في اعراض خطيرة من Zyrtec؟ محتاج أعرف,في اعراض خطيرة من Zyrtec؟ محتاج أعرف,side_effects,Zyrtec
اخدت بنادوول وحاسس بتعب بعد إذنك,تناولت Panadol وحاسس بتعب بعد إذنك,side_effects,Panadol
هل Flagyl ممنوع لمرضى القلب؟ أنا قلقان,هل Flagyl ممنوع لمرضى القلب؟ أنا قلقان,contraindication,Flagyl
في اعراض خطيرة من كونجستال؟ ضروري,في اعراض خطيرة من Congestal؟ ضروري,side_effects,Congestal
هل بنادول ممكن يسبب حساسية في الجلد؟ أنا قلقان,هل Panadol ممكن يسبب حساسية في الجلد؟ أنا قلقان,side_effects,Panadol
لو خدت كونجستال و Paracetamol في نفس اليوم عادي؟ ضروري,لو خدت Congestal و Paracetamol في نفس اليوم عادي؟ ضروري,interaction,Congestal|Paracetamol
في اعراض خطيرة من بروفين؟ عشان تعبان,في اعراض خطيرة من Brufen؟ عشان تعبان,side_effects,Brufen
هل Congestal آمن للحامل؟,هل Congestal آمن للحامل؟,contraindication,Congestal
ممكن اخد بروفين مع الاسبرين في نفس اليوم؟ عايز رد سريع,ممكن أتناول Brufen مع الAspirin في نفس اليوم؟ عايز رد سريع,interaction,Brufen|Aspirin
هل Amoxicillin مناسب للأطفال؟ لو سمحت,هل Amoxicillin مناسب للأطفال؟ لو سمحت,contraindication,Amoxicillin
هل طبيعي Zyrtec يعمل نعاس؟ ضروري جدًا,هل طبيعي Zyrtec يعمل نعاس؟ ضروري جدًا,side_effects,Zyrtec
لو خدت اوجمنتين وبعده بنادول يحصل مشكلة؟ عشان تعبان,لو خدت Augmentin وبعده Panadol يحصل مشكلة؟ عشان تعبان,interaction,Augmentin|Panadol
هل البروفين خطر لمرضى الضغط؟ عايز رد سريع,هل الBrufen خطر لمرضى الضغط؟ عايز رد سريع,contraindication,Brufen
هل البروفين ممكن يسبب حساسية في الجلد؟ ضروري,هل الBrufen ممكن يسبب حساسية في الجلد؟ ضروري,side_effects,Brufen
هل اوجمنتين يوجع المعدة؟ لو سمحت,هل Augmentin يوجع المعدة؟ لو سمحت,side_effects,Augmentin
زيرتك ممكن يعمل تعب في المعدة؟ محتاج أعرف,Zyrtec ممكن يعمل تعب في المعدة؟ محتاج أعرف,side_effects,Zyrtec
انا باخد اوجمنتين هل بنادوول هيأثر عليه؟ لو تكرمت,انا أتناول Augmentin هل Panadol هيأثر عليه؟ لو تكرمت,interaction,Augmentin|Panadol
هل بنادول ممكن يسبب حساسية في الجلد؟ من فضلك,هل Panadol ممكن يسبب حساسية في الجلد؟ من فضلك,side_effects,Panadol
بعد كتافلام حسيت بغثيان يا دكتور,بعد Cataflam حسيت بغثيان يا دكتور,side_effects,Cataflam
هل Brufen يقلل مفعول كونجستال؟ ممكن تساعدني,هل Brufen يقلل مفعول Congestal؟ ممكن تساعدني,interaction,Brufen|Congestal
هل زيرتك ممنوع لمرضى القلب؟ ضروري,هل Zyrtec ممنوع لمرضى القلب؟ ضروري,contraindication,Zyrtec
لو عندي فشل كلوي ينفع Panadol؟ ممكن تساعدني,لو عندي فشل كلوي هل يمكن Panadol؟ ممكن تساعدني,contraindication,Panadol
ينفع اخد بروفين قبل الاكل ولا بعده؟ محتاج أعرف,هل يمكن أتناول Brufen قبل الاكل ولا بعده؟ محتاج أعرف,dosage,Brufen
اخدت Zyrtec وحاسس بتعب لو تكرمت,تناولت Zyrtec وحاسس بتعب لو تكرمت,side_effects,Zyrtec
لو عندي قرحة ينفع اخد Congestal؟,لو عندي قرحة هل يمكن أتناول Congestal؟,contraindication,Congestal
اخدت بنادوول وحاسس بتعب ضروري,تناولت Panadol وحاسس بتعب ضروري,side_effects,Panadol
اخدت Flagyl وطلعلي طفح جلدي أنا قلقان,تناولت Flagyl وطلعلي طفح جلدي أنا قلقان,side_effects,Flagyl
هل Zyrtec خطر على القلب؟ من فضلك,هل Zyrtec خطر على القلب؟ من فضلك,contraindication,Zyrtec
اخدت باراسيتامول ينفع بعدها كونجستول؟ بجد,تناولت Paracetamol هل يمكن بعدها Congestal؟ بجد,interaction,Paracetamol|Congestal
هل بنادول مناسب لمرضى السكر؟ عشان تعبان,هل Panadol مناسب لمرضى السكر؟ عشان تعبان,contraindication,Panadol
هل Cataflam ينفع لمريض سكر وضغط؟ لو سمحت,هل Cataflam هل يمكن لمريض سكر وضغط؟ لو سمحت,contraindication,Cataflam
اخدت Flagyl وطلعلي طفح جلدي يا دكتور,تناولت Flagyl وطلعلي طفح جلدي يا دكتور,side_effects,Flagyl
هل اموكسيسيلين يسبب حساسية؟ ضروري جدًا,هل Amoxicillin يسبب حساسية؟ ضروري جدًا,side_effects,Amoxicillin
هل Brufen خطر على الكلى؟ يا دكتور,هل Brufen خطر على الكلى؟ يا دكتور,contraindication,Brufen
لو نسيت جرعة اموكسيسيلين اعمل ايه؟ عشان تعبان,لو نسيت جرعة Amoxicillin اعمل ما هي؟ عشان تعبان,dosage,Amoxicillin
ينفع اخد الاسبرين مع Flagyl؟ رد بسرعة,هل يمكن أتناول الAspirin مع Flagyl؟ رد بسرعة,interaction,Aspirin|Flagyl
انا باخد Paracetamol هل بروفين هيأثر عليه؟,انا أتناول Paracetamol هل Brufen هيأثر عليه؟,interaction,Paracetamol|Brufen
لو نسيت جرعة كونجستول اعمل ايه؟ عشان تعبان,لو نسيت جرعة Congestal اعمل ما هي؟ عشان تعبان,dosage,Congestal
